ZONA,COBROS (RD$ MM),MES,AÑO
Zona 1 - Distrito,1802.901159,Noviembre,2021
Zona 2 - San Cristóbal,1011.384051,Noviembre,2021
Zona 3 - Baní,220.5264911,Noviembre,2021
Zona 4 - San Juan,93.2691688,Noviembre,2021
Zona 5 - Barahona,138.6864449,Noviembre,2021
Zona 1 - Distrito,1863.191234,Diciembre,2021
Zona 2 - San Cristóbal,1060.702722,Diciembre,2021
Zona 3 - Baní,219.0016246,Diciembre,2021
Zona 4 - San Juan,89.4429932,Diciembre,2021
Zona 5 - Barahona,132.8747582,Diciembre,2021
Zona 1 - Distrito,1559.152326,Enero,2022
Zona 2 - San Cristóbal,888.8572309,Enero,2022
Zona 3 - Baní,205.370884,Enero,2022
Zona 4 - San Juan,78.3118342,Enero,2022
Zona 5 - Barahona,113.3571742,Enero,2022
Zona 1 - Distrito,1509.445633,Febrero,2022
Zona 2 - San Cristóbal,894.2965455,Febrero,2022
Zona 3 - Baní,219.7977815,Febrero,2022
Zona 4 - San Juan,91.3610144,Febrero,2022
Zona 5 - Barahona,135.0066473,Febrero,2022
Zona 1 - Distrito,1646.1966,Marzo,2022
Zona 2 - San Cristóbal,913.4487908,Marzo,2022
Zona 3 - Baní,244.0448409,Marzo,2022
Zona 4 - San Juan,95.1169428,Marzo,2022
Zona 5 - Barahona,144.8740865,Marzo,2022
Zona 1 - Distrito,1612.752869,Abril,2022
Zona 2 - San Cristóbal,931.3962075,Abril,2022
Zona 3 - Baní,232.6374594,Abril,2022
Zona 4 - San Juan,92.5479283,Abril,2022
Zona 5 - Barahona,136.9903497,Abril,2022
Zona 1 - Distrito,1829.230932,Mayo,2022
Zona 2 - San Cristóbal,1015.290222,Mayo,2022
Zona 3 - Baní,247.5147802,Mayo,2022
Zona 4 - San Juan,101.5443887,Mayo,2022
Zona 5 - Barahona,152.0635416,Mayo,2022
Zona 1 - Distrito,1848.609961,Junio,2022
Zona 2 - San Cristóbal,1002.898894,Junio,2022
Zona 3 - Baní,243.2124222,Junio,2022
Zona 4 - San Juan,102.370669,Junio,2022
Zona 5 - Barahona,152.745453,Junio,2022
Zona 1 - Distrito,2132.732277,Julio,2022
Zona 2 - San Cristóbal,1174.752466,Julio,2022
Zona 3 - Baní,252.1772452,Julio,2022
Zona 4 - San Juan,109.8093291,Julio,2022
Zona 5 - Barahona,158.9536665,Julio,2022
Zona 1 - Distrito,2039.889473,Agosto,2022
Zona 2 - San Cristóbal,1099.128857,Agosto,2022
Zona 3 - Baní,265.1712653,Agosto,2022
Zona 4 - San Juan,110.4509504,Agosto,2022
Zona 5 - Barahona,152.5256193,Agosto,2022
Zona 1 - Distrito,2142.043889,Septiembre,2022
Zona 2 - San Cristóbal,1180.173356,Septiembre,2022
Zona 3 - Baní,274.7235889,Septiembre,2022
Zona 4 - San Juan,108.8314068,Septiembre,2022
Zona 5 - Barahona,161.3802539,Septiembre,2022
Zona 1 - Distrito,2198.783406,Octubre,2022
Zona 2 - San Cristóbal,1155.945812,Octubre,2022
Zona 3 - Baní,277.1898844,Octubre,2022
Zona 4 - San Juan,113.0607927,Octubre,2022
Zona 5 - Barahona,170.3298632,Octubre,2022
Zona 1 - Distrito,2043.248857,Noviembre,2022
Zona 2 - San Cristóbal,1098.994013,Noviembre,2022
Zona 3 - Baní,259.3001686,Noviembre,2022
Zona 4 - San Juan,106.700102,Noviembre,2022
Zona 5 - Barahona,161.2645235,Noviembre,2022
Zona 1 - Distrito,2108.037866,Diciembre,2022
Zona 2 - San Cristóbal,1138.126154,Diciembre,2022
Zona 3 - Baní,268.9980084,Diciembre,2022
Zona 4 - San Juan,110.9318545,Diciembre,2022
Zona 5 - Barahona,154.5388145,Diciembre,2022
Zona 1 - Distrito,1791.191712,Enero,2023
Zona 2 - San Cristóbal,945.4720172,Enero,2023
Zona 3 - Baní,252.2828364,Enero,2023
Zona 4 - San Juan,99.7344469,Enero,2023
Zona 5 - Barahona,137.7006652,Enero,2023
Zona 1 - Distrito,1692.82254,Febrero,2023
Zona 2 - San Cristóbal,947.0353138,Febrero,2023
Zona 3 - Baní,249.6529071,Febrero,2023
Zona 4 - San Juan,94.5872015,Febrero,2023
Zona 5 - Barahona,137.5015981,Febrero,2023
Zona 1 - Distrito,1903.288445,Marzo,2023
Zona 2 - San Cristóbal,1278.505054,Marzo,2023
Zona 3 - Baní,281.5250606,Marzo,2023
Zona 4 - San Juan,107.7737732,Marzo,2023
Zona 5 - Barahona,168.159684,Marzo,2023
Zona 1 - Distrito,1754.179161,Abril,2023
Zona 2 - San Cristóbal,1078.062391,Abril,2023
Zona 3 - Baní,248.410021,Abril,2023
Zona 4 - San Juan,94.0648805,Abril,2023
Zona 5 - Barahona,134.601514,Abril,2023
Zona 1 - Distrito,1962.493291,Mayo,2023
Zona 2 - San Cristóbal,1162.69076,Mayo,2023
Zona 3 - Baní,270.7067258,Mayo,2023
Zona 4 - San Juan,109.8037985,Mayo,2023
Zona 5 - Barahona,160.4877302,Mayo,2023
Zona 1 - Distrito,2097.243984,Junio,2023
Zona 2 - San Cristóbal,1207.88992,Junio,2023
Zona 3 - Baní,274.4026448,Junio,2023
Zona 4 - San Juan,108.642023,Junio,2023
Zona 5 - Barahona,160.7221977,Junio,2023
Zona 1 - Distrito,2313.472905,Julio,2023
Zona 2 - San Cristóbal,1255.633947,Julio,2023
Zona 3 - Baní,278.5442198,Julio,2023
Zona 4 - San Juan,115.22928,Julio,2023
